model, dataset, max_depth, train_score0, train_score1, train_score2, test_score0, test_score1, test_score2, train_time0, train_time1, train_time2, hyperparameter0, hyperparameter1, hyperparameter2
DL8.5, balance_scale, 2, 0.7019230769230769, 0.7074340527577938, 0.6762589928057554, 0.6411483253588517, 0.6298076923076923, 0.625, 0.0007757579996905406, 0.0008131790000334149, 0.0008805209999991348, 10, 10, 10
DL8.5, balance_scale, 3, 0.7451923076923077, 0.7601918465227818, 0.7434052757793765, 0.6889952153110048, 0.6875, 0.7307692307692307, 0.0035108219999528956, 0.0038536759998351044, 0.003967952000039077, 10, 1, 1
DL8.5, balance_scale, 4, 0.7644230769230769, 0.7697841726618705, 0.7529976019184652, 0.6842105263157895, 0.7019230769230769, 0.7355769230769231, 0.0304930840002271, 0.03013050800018391, 0.030608479999955307, 10, 10, 10
DL8.5, congressional_voting_records, 2, 0.9689655172413794, 0.9551724137931035, 0.9689655172413794, 0.9379310344827586, 0.9724137931034482, 0.9379310344827586, 0.0011252069998590741, 0.0012227819997860934, 0.0010893530002249463, 1, 1, 20
DL8.5, congressional_voting_records, 3, 0.9724137931034482, 0.9586206896551724, 0.9793103448275862, 0.9517241379310345, 0.9793103448275862, 0.9241379310344827, 0.006821365000178048, 0.008414572000219778, 0.01033977999986746, 20, 20, 10
DL8.5, congressional_voting_records, 4, 0.9793103448275862, 0.9724137931034482, 0.9724137931034482, 0.9310344827586207, 0.9379310344827586, 0.9310344827586207, 0.1814919739999823, 0.22897848299999168, 0.04384745400011525, 10, 10, 20
DL8.5, soybean_small, 2, 1.0, 1.0, 1.0, 1.0, 0.9375, 1.0, 0.0009959340000023076, 0.0010285339999427379, 0.0009444309998798417, 1, 1, 1
DL8.5, soybean_small, 3, 1.0, 1.0, 1.0, 1.0, 0.9375, 1.0, 0.0012195570002404565, 0.0014092559999880905, 0.0011159179998685431, 1, 1, 1
DL8.5, soybean_small, 4, 1.0, 1.0, 1.0, 0.875, 0.9375, 1.0, 0.0011513960002957901, 0.0011970860000474204, 0.0011301479999019648, 1, 1, 1
DL8.5, iris, 2, 0.96, 0.95, 0.97, 0.96, 0.96, 0.94, 0.0015386749996650906, 0.0015538290003860311, 0.0015800569999555591, 1, 1, 1
DL8.5, iris, 3, 0.99, 0.96, 1.0, 0.96, 0.96, 0.92, 0.004697497000051953, 0.003192690000105358, 0.005109482000079879, 1, 10, 1
DL8.5, iris, 4, 0.97, 0.96, 0.97, 0.94, 0.96, 0.9, 0.005055866000020615, 0.009230324999862205, 0.006606551000004401, 10, 10, 10
DL8.5, wine, 2, 0.9745762711864406, 0.9831932773109243, 0.957983193277311, 0.95, 0.9152542372881356, 0.9491525423728814, 0.023434693000126572, 0.016501594000146724, 0.026138134000120772, 1, 10, 1
DL8.5, wine, 3, 1.0, 1.0, 1.0, 0.9, 0.9152542372881356, 0.9152542372881356, 0.2899248650001027, 0.1484280720001152, 0.9407611639999232, 1, 1, 10
DL8.5, wine, 4, 0.9915254237288136, 1.0, 1.0, 0.9333333333333333, 0.9152542372881356, 0.9491525423728814, 71.23045372499973, 3.7465683890000037, 56.75684032900017, 10, 10, 10
DL8.5, breast_cancer, 2, 0.9604221635883905, 0.9736147757255936, 0.9631578947368421, 0.9210526315789473, 0.9210526315789473, 0.9523809523809523, 1.516936586999691, 1.2575387150000097, 1.3230784790002872, 1, 10, 20
DL8.5, breast_cancer, 3, 0.9868073878627969, 0.9947229551451188, 0.9868421052631579, 0.9315789473684211, 0.9, 0.9576719576719577, 600.5474670550002, 600.6716174370004, 600.8171633369993, 1, 10, 1
DL8.5, breast_cancer, 4, 0.9841688654353562, 0.9947229551451188, 0.9789473684210527, 0.9210526315789473, 0.9, 0.9417989417989417, 600.9520954460004, 600.4709448859994, 600.3817416579986, 10, 10, 20
DL8.5, banknote_authentication, 2, 0.9266958424507659, 0.9366120218579235, 0.9289617486338798, 0.9170305676855895, 0.8971553610503282, 0.9146608315098468, 0.3172365400005219, 0.2906258480015822, 0.2900242609994166, 1, 1, 20
DL8.5, banknote_authentication, 3, 0.9857768052516411, 0.985792349726776, 0.9846994535519126, 0.9737991266375546, 0.962800875273523, 0.975929978118162, 113.73930246700002, 112.08577983899886, 109.12285299599898, 1, 1, 1
DL8.5, banknote_authentication, 4, 0.9857768052516411, 0.9868852459016394, 0.9901639344262295, 0.9737991266375546, 0.9649890590809628, 0.9715536105032823, 600.0675242119996, 600.110687843, 600.1622627559991, 20, 20, 1
DL8.5, blood_transfusion, 2, 0.7771084337349398, 0.781563126252505, 0.781563126252505, 0.772, 0.7670682730923695, 0.751004016064257, 0.004037392998725409, 0.004469250998226926, 0.0036185380013193935, 10, 1, 20
DL8.5, blood_transfusion, 3, 0.7971887550200804, 0.8216432865731463, 0.8236472945891784, 0.788, 0.7590361445783133, 0.7630522088353414, 0.09588535999864689, 0.09790712099857046, 0.11098870600108057, 20, 10, 10
DL8.5, blood_transfusion, 4, 0.8132530120481928, 0.8316633266533067, 0.8316633266533067, 0.788, 0.7550200803212851, 0.7590361445783133, 4.06553283500034, 5.257533405998402, 5.323135506001563, 10, 10, 10
DL8.5, ionosphere, 2, 0.905982905982906, 0.9444444444444444, 0.905982905982906, 0.9145299145299145, 0.8290598290598291, 0.8376068376068376, 0.4249696730003052, 0.24953891699988162, 0.34899766799935605, 1, 1, 10
DL8.5, ionosphere, 3, 0.9529914529914529, 0.9743589743589743, 0.9572649572649573, 0.8803418803418803, 0.8376068376068376, 0.8205128205128205, 253.13528039799712, 126.45652306899865, 198.8068277539969, 10, 10, 10
DL8.5, ionosphere, 4, 0.9743589743589743, 0.9786324786324786, 0.9658119658119658, 0.8974358974358975, 0.8547008547008547, 0.8803418803418803, 600.1331493960024, 600.1846430660007, 600.0356874450008, 1, 10, 10
DL8.5, parkinsons, 2, 0.9153846153846154, 0.9538461538461539, 0.9461538461538461, 0.8923076923076924, 0.8461538461538461, 0.8153846153846154, 0.09767303500120761, 0.07962544999827514, 0.10200103900206159, 10, 10, 1
DL8.5, parkinsons, 3, 0.9769230769230769, 1.0, 1.0, 0.8615384615384616, 0.8769230769230769, 0.8769230769230769, 16.415029772000707, 7.974504393001553, 13.63028728500285, 10, 1, 1
DL8.5, parkinsons, 4, 1.0, 1.0, 1.0, 0.9538461538461539, 0.8615384615384616, 0.9230769230769231, 1.976378184997884, 1.2096606459999748, 1.6538248190008744, 1, 1, 1
OCT, balance_scale, 2, 0.7019230769230769, 0.7074340527577938, 0.6690647482014388, 0.6411483253588517, 0.6298076923076923, 0.7067307692307693, 0.5657485049960087, 0.31057008799689356, 0.3192216579991509, 0.09294871794871795, 0.09554140127388533, 0.019108280254777066
OCT, balance_scale, 3, 0.7524038461538461, 0.7553956834532374, 0.7434052757793765, 0.69377990430622, 0.6875, 0.7307692307692307, 0.3987566659998265, 0.389574230001017, 0.44843757299531717, 0.01282051282051283, 0.011146496815286622, 0.0031847133757961776
OCT, balance_scale, 4, 0.7572115384615384, 0.7793764988009593, 0.7386091127098321, 0.6985645933014354, 0.7115384615384616, 0.7355769230769231, 0.4886124580007163, 0.6215635080006905, 0.524283683997055, 0.013621794871794851, 0.0031847133757961776, 0.0286624203821656
OCT, congressional_voting_records, 2, 0.9620689655172414, 0.9448275862068966, 0.9620689655172414, 0.9448275862068966, 0.9793103448275862, 0.9448275862068966, 0.3332761929996195, 0.32694488400011323, 0.3661031779993209, 0.05769230769230768, 0.012820512820512817, 0.03205128205128205
