model, dataset, max_depth, train_time, ub, lb, mip_gap, time_improvement, gap_improvement
FlowOCT, balance_scale, 2, 9.120274753000103, 426.0, 426.0, 0.0, #N/A, #N/A
FlowOCT, balance_scale, 3, 164.69234987399977, 462.0, 462.0, 0.0, #N/A, #N/A
FlowOCT, balance_scale, 4, 601.5496011949999, 619.6229166666761, 487.0, 0.27232631759071074, #N/A, #N/A
FlowOCT, congressional_voting_records, 2, 19.744860464999874, 418.0, 418.0, 0.0, #N/A, #N/A
FlowOCT, congressional_voting_records, 3, 600.5630031159999, 434.99999999999244, 423.0, 0.028368794326223263, #N/A, #N/A
FlowOCT, congressional_voting_records, 4, 601.2668718610003, 434.99999999999363, 427.0000003583537, 0.018735362142683946, #N/A, #N/A
FlowOCT, soybean_small, 2, 0.11111440300010145, 46.999999999999964, 46.999999999999964, 0.0, #N/A, #N/A
FlowOCT, soybean_small, 3, 0.38154260800001794, 47.0, 47.0, 0.0, #N/A, #N/A
FlowOCT, soybean_small, 4, 0.45875760199942306, 47.0, 47.0, 0.0, #N/A, #N/A
FlowOCT, iris, 2, 0.22505959200043435, 136.5, 136.0, 0.003676470588235294, #N/A, #N/A
FlowOCT, iris, 3, 13.84261760299978, 143.0, 143.0, 0.0, #N/A, #N/A
FlowOCT, iris, 4, 600.3725930700002, 149.9999999999998, 147.0000015, 0.020408152852976705, #N/A, #N/A
FlowOCT, wine, 2, 2.117099612999482, 168.8002270147561, 168.0, 0.004763256040214901, #N/A, #N/A
FlowOCT, wine, 3, 600.2735762250004, 177.9999999999986, 176.0, 0.01136363636362845, #N/A, #N/A
FlowOCT, wine, 4, 600.5259237350001, 177.99999999999906, 177.0, 0.005649717514118995, #N/A, #N/A
FlowOCT, breast_cancer, 2, 187.45154343100057, 536.0, 536.0, 0.0, #N/A, #N/A
FlowOCT, breast_cancer, 3, 601.0679338159998, 568.9999999999932, 546.0, 0.04212454212452963, #N/A, #N/A
FlowOCT, breast_cancer, 4, 602.2809096139999, 568.9999999999945, 551.0, 0.032667876588011874, #N/A, #N/A
FlowOCT, banknote_authentication, 2, 4.018153914000322, 1229.0, 1229.0, 0.0, #N/A, #N/A
FlowOCT, banknote_authentication, 3, 150.63255338600084, 1295.0, 1295.0, 0.0, #N/A, #N/A
FlowOCT, banknote_authentication, 4, 603.3442977159993, 1371.9999999999964, 1334.0000006546666, 0.028485756616702492, #N/A, #N/A
FlowOCT, blood_transfusion, 2, 1.1264489340010186, 577.0, 577.0, 0.0, #N/A, #N/A
